ID,Category,Text_Length,Keywords,Text_Preview
13130984,ACCOUNTANT,4044,,ACCOUNTANT Summary Innovative Accountant proficient in extracting financial data from various reporting systems and suggesting key operational changes. Skills Budget forecasting expertise Analytical r...
13294301,ACCOUNTANT,4736,,ACCOUNTANT Professional Summary Emerging accounting professional ready to develop career foundation with expanding operation. Dedicated to keeping records accurate and controls tight to meet all busin...
13491889,ACCOUNTANT,4976,aws,ACCOUNTANT Summary Results-oriented accountant with strong work ethic and over four years of experience.Â Successful at managing multiple projects and consistently meeting deadlines under pressure. Bi...
13701259,ACCOUNTANT,6609,aws,"SENIOR ACCOUNTANT Summary Senior Accounting Professional with extensive experience in various areas of accounting and finance.Â Visionary with strategic analytical skills.Â Practical, articulate and c..."
14055988,ACCOUNTANT,4701,,ACCOUNTANT III Summary Talented Accountant Â employing creative teaching strategies to engage students fully in the learning process. A highly motivated Accounting professional with a verifiable recor...
14126433,ACCOUNTANT,6274,,"SUPERVISOR ACCOUNTANT Professional Summary Ability to work in a fast paced, deadline driven environment, independently or as a team. Core Qualifications Microsoft Office, advanced Excel, PowerPoint, M..."
14224370,ACCOUNTANT,3115,,ACCOUNTANT Summary Degreed accountant with more than 10 years of diversified accounting experience seeking accounting position at a well-established company in Houston Highlights Team-oriented Detail-...
14449423,ACCOUNTANT,7492,sql,"STAFF ACCOUNTANT Professional Profile To advance in professional and personal experiences within Finance, Tax Accounting and Management To obtain a Staff Accountant position that will enable me to per..."
14470533,ACCOUNTANT,6309,aws,ACCOUNTANT Summary Bookkeeper with strong technical proficiency and commitment to accuracy in financial data entry and financial record keeping. Desires an accounting position in a positive working en...
10186968,ADVOCATE,3917,,"CHILD FAMILY ADVOCATE Professional Profile Talented administrative professional with background in accounting and finance. Extensive knowledge of AR/AP, Microsoft Excel and Quick Books-software skills..."
10344379,ADVOCATE,5019,,"Summary Administrative support professional with experience working in a fast past environment, demanding strong organizational, technical and interpersonal skills. Trustworthy, ethical and discreet, ..."
10659182,ADVOCATE,4837,,"SUBSTITUTE TEACHER Professional Summary A self-motivated, results oriented, and resourceful professional focused on delivering compassionate patient experiences; accompanied by organizational, problem..."
10818478,ADVOCATE,2238,,EXPRESS SCRIPTS Summary Responsible and mature Retail Sales Consultant who thrives in fast-paced environments. Enjoys working as part of a team to achieve sales goals. Accomplishments Fulfilled all su...
11174187,ADVOCATE,7992,,"RN / ASST. HEAD NURSE PRACTICE LEADER Skills care planning, Case Management, Home Health, Hospice, Infection control, injections, Nurse Manager, Oncology, scheduling, staff development, Trauma, triage..."
11188218,ADVOCATE,6045,,CUSTOMER ADVOCATE Career Overview Objective Â To secure an Administrative Specialist/Office Manager position and use my expertise and proven skills in order to positively contribute to the efficient o...
11773767,ADVOCATE,5017,git,"BENEFIT ADVOCATE SUPERVISOR Summary Represent a reputable company as an Underwriter, proving my value by building and supporting a healthy and profitable book of business. Highlights Licensed Property..."
11963737,ADVOCATE,4807,sql,SENIOR CLIENT ADVOCATE II Accomplishments Earned the Workgroup for Electronic Data Interchange (WEDI) Award of Merit 2 years in a row for educating the health care industry on electronic claims attach...
12171093,ADVOCATE,3257,,"COMMUNITY ADVOCATE Summary Dedicated and focused Community AdvocateÂ who excels at prioritizing, completing multiple tasks simultaneously and following through to achieve project goals. Seeking a role..."
12544735,ADVOCATE,3435,aws,"PATIENT ADVOCATE Summary Highly driven, organized and motivated Patient Advocate with over 7 years of experience in the healthcare field and customer relations. Skilled in providing compassionate, eff..."
13072354,ADVOCATE,5993,git,"DOMESTIC VIOLENCE AND SEXUAL ASSAULT ADVOCATE Professional Summary Certified Massachusetts Domestic Violence and Sexual Assault Advocate driven to help survivors overcome numerous intersecting social,..."
13115648,ADVOCATE,4933,,"ADMISSIONS EXECUTIVE Professional Summary Highly motivated, creative professional with strong leadership and relationship-building skills. Experienced in applying principles of sociology to personnel ..."
13342150,ADVOCATE,5560,,"PATIENT SERVICE REPRESENTATIVE Summary Seeking a position using strong organizational skills, superb communication skills and interest in management position with the reputed organization that rewards..."
13593241,ADVOCATE,7002,,"SCHOOL SUCCESS ADVOCATE Accomplishments YMCA Camp Orkila (Orcas Island, WA) Adventure Team Facilitator, 2011 Facilitated all of the Low and High Challenge Course elements, many group 'initiatives,' th..."
13809698,ADVOCATE,4741,,PHLEBOTOMIST Professional Summary Reliable and highly accurateÂ Phlebotomist PreceptorÂ focused on quality completion of all lab procedures under tight deadlines. Works well under pressure. Skills Phl...
13909762,ADVOCATE,7280,,"CLIENT RELATIONS ADVOCATE Career Overview Seeking a challenging and rewarding career in Customer Service that would utilize acquired knowledge, training , and skills to achieve career growth potential..."
13967854,ADVOCATE,5397,,VICTIM ADVOCATE Professional Summary Â Social worker with more that five years ofÂ experience asÂ Multicultural VictimÂ Â Advocate and exceptional people skills. Versed in advocacy andÂ case managemen...
14064815,ADVOCATE,4981,,"FAMILY ADVOCATE Professional Summary A motivated professional with practical, analytical, and operational skills with resourceful problem solving. Communicative and personable, will learn and adapt qu..."
14146106,ADVOCATE,4921,,CUSTOMER SERVICE ADVOCATE II Summary Qualified Lead Customer Service Representative with 16 + years in fast-paced customer service utility office environment and Affordable Care Reform. Personable and...
14176254,ADVOCATE,5407,,"CUSTOMER SERVICE ADVOCATE Summary Highly-motivated, coaching, and analytical health insurance leader. Experience Customer Service Advocate Mar 2016 Company Name ï¼​ City , State Patient CetnerÂ Medica..."
10953078,AGRICULTURE,5263,,"RN STAFF NURSE Professional Experience RN Staff Nurse August 2008 to April 2014 Company Name ï¼​ City , State Participate in multidisciplinary plan of care. Follow Best Practice Protocols, Evidence ba..."
11197262,AGRICULTURE,5039,,PLANT PROTECTION AND QUARANTINE TECHNICIAN Summary Environmental Biologist and experienced researcher with expertise in data collection and study. Analytical and detail-oriented. Highlights Certificat...
11676151,AGRICULTURE,4603,html,"PATIENT ACCESS REP Summary Dependable Computer Application Analyst, with comprehensive experiences diagnosing and troubleshooting Network, hardware and desktop issues; tracking and evaluating IT infra..."
11813872,AGRICULTURE,8615,"python, java, sql, aws, data science","VP, PRINCIPAL Summary I am highly skilled,growth mindset IT professional having more than 20 years experience mostly in financial industry related with providing advanced data solutions using innovati..."
12341902,AGRICULTURE,5362,,EDUCATION OFFICER & SENIOR EDUCATION OFFICER GUIDANCE & COUNSELING UNIT Professional Summary I joined the Ministry of Education in 1982 and was posted at the R.M.Bailey Senior High School where I rema...
12674256,AGRICULTURE,5425,,"FINANCIAL SALES CONSULTANT Professional Summary Articulate Project Manager driven to succeed. Strategic planning and client relationship management expert. Core Qualifications Written Communications, ..."
14140903,AGRICULTURE,6511,,GRADUATE RESEARCH ASSISTANT Profile Results-driven Animal Nutritionist with good research and teaching experience Areas of Expertise Dairy Nutrition Food Safety Feed supplementation strategies Profess...
15053703,AGRICULTURE,4984,,"ADMINISTRATION OFFICE ASSISTANT Summary Enthusiastic student-teacher with superb leadership and communication skills. Easily cultivates trusting and productive relationships with students, parents, te..."
15546686,AGRICULTURE,3442,,"SENIOR FIELD APPLICATION SPECIALIST Summary Senior Field Application Specialist with extensive customer training experience for a large, international, biotech company. An expert on multiple In Vitro ..."
15603319,AGRICULTURE,4822,,"GRADUATE RESEARCH ASSISTANT Professional Summary Dedicated professional with excellent technical, analytical and communication skills demonstrated in ten years of experience in the agricultural sector..."
16172429,AGRICULTURE,5928,,"FINANCIAL INSTITUTION EXAMINER Summary Commissioned bank examiner with over five years of experience with the FDIC. Strong analytical skills and technical background in credit review, financial statem..."
16507693,AGRICULTURE,11051,aws,BUDGET ANALYST SERIES 0560 Summary Accounting Skills Â Knowledge of automate financial/accounting systems in order to manage fiscal date and ensure system performance. Knowledge of system analysis tec...
16653657,AGRICULTURE,5213,,"QUALITY ASSURANCE ASSOCIATE Summary Enthusiastic Chemist eager to pursue a lasting career in the Agriculture industry. Detail-oriented Chemist with expertise in the instrumentation, physical and wet c..."
16661264,AGRICULTURE,11480,"aws, git","NATURAL RESOURCE SPECIALIST GS-12/5 Position Applying Realty Specialist (Generalist) Department of Interior Interior, Bureau of Indian Affairs Rocky Mountain Region, Division of Real Estate Services A..."
16849128,AGRICULTURE,2230,,"FEDERAL GRAIN INSPECTOR Summary Service-oriented Process Operator with 5 years background working in the Industrial Industry. Core competencies include Processing, Observing, Analyzing chemicals and o..."
17312146,AGRICULTURE,4266,,"CONSERVATION TECHNICIAN/MAINTENANCE Summary To build a career in the local community and improve skills in the Biological Science field Skills Microsoft Word documents, Excel spreadsheets and Power Po..."
17499196,AGRICULTURE,6754,,JAMAICA- APICULTURE EXTENSION SPECIALIST Summary of Skills Physical Planning and Land Management Urban and Regional Planning Land Use Planning Geographic Information System (GIS) Strong organizational...
17640785,AGRICULTURE,6768,,PROJECT(S) MANAGER Professional Overview A Medical Anthropologist who is driven by a fundamental interest in human health and welfare from a sociocultural perspective. Ms. Kazaryan is prepared to use ...
18242317,AGRICULTURE,4958,,"GRADUATE RESEARCH ASSISTANT Summary Dedicated professional with excellent technical, analytical and communication skills demonstrated in ten years of experience in the agricultural sector, specificall..."
18264694,AGRICULTURE,10589,,PRESIDENT Career Focus Creative Marketing Professional with an MBA seeking a new challenge after many years as a stay at home mom; broad-based background in highly competitive and dynamic organization...
10182582,APPAREL,2270,,"KEY HOLDER Summary Highly organized efficient in multitasking environments; able to prioritize effectively to accomplish objectives with creativity, enthusiasm and humor. Resourceful and flexible, abl..."
10562768,APPAREL,6328,,"ASSISTANT BANKING CENTER MANAGER I Summary Experienced in Signals analysis, Geo-Spatial analysis, Electronic Warfare analysis, Networks and Threat analysis, and DNR. Limited knowledge of performing DN..."
10738095,APPAREL,8021,aws,INDEPENDENT BEAUTY ADVISOR Career Overview To gain an entry-level position in the customer service industry with room for growth and advancement that will lead to a lasting relationship. Core Strength...
10876132,APPAREL,5464,,SPECIAL INVESTIGATIVE UNIT I Summary Energetic and enthusiastic insurance professional motivated to succeed in a fast-paced and deadline-driven professional environment. Comprehensive knowledge of cla...
11232471,APPAREL,1965,,"SOFTLINES MANAGER Summary Experienced Retail Sales Manager, known for hiring and training solid, long-term staff, adept at problem solving, who posses a strong background in Visual Merchandising. Visu..."
11409460,APPAREL,3041,,"BUYER/PLANNER Summary Detail-oriented, analytical-thinking, trilingual individual, with exceptional problem-solving skills looking to obtain an internship or full-time position that will allow me to u..."
11677077,APPAREL,7635,,"CASHIER Professional Summary Results-oriented, strategic sales professional with two years in the Retail industry. Cashier who is highly energetic, outgoing and detail-oriented. Handles multiple respo..."
12059610,APPAREL,6573,,"SHOE DEPT. LEAD SUPERVISOR Accomplishments KELLERMEYER BERGENSONS SERVICES, M aumee, OH. Crew Member, Aug 2012 Â​ Oct 2013 Service, clean, or supply restrooms. Gather and empty trash. Clean building f..."
12122372,APPAREL,2714,,"OFFICE MANAGER Highlights Microsoft Office Social Media Marketing: Facebook, Instagram & Pinterest Critical Thinking & Problem Solving Skills Detailed & Organized Type 53 words per minute Written & Ve..."
12668625,APPAREL,5289,,"BOOKSELLER Professional Profile Ever since I've been able to work I have, the day I turned 16 I got a job at Wal-Mart and I was with Wal-Mart for about a year and a half. My only reason for leaving my..."
12669075,APPAREL,4793,,"BRANCH ADMINISTRATOR Objective Obtain a challenging position which will demonstrate and highlight my organizational, customer service, communication, and project management skills. Summary Committed a..."
12860543,APPAREL,6251,"aws, git","FREELANCE DESIGNER Highlights * Efficiently lead and coordinated all product development stages. * Research market needs for development of new products, remain up-to- date on emerging trends and comp..."
13386301,APPAREL,6499,git,"FINE APPAREL DEPARTMENT MANAGER Summary Results driven General Manager with strong interpersonal skills with extensive luxury retail sales experience, focused on client development and retention. Succ..."
13418452,APPAREL,7565,,"IT COMPLIANCE AUDITOR Career Overview I offer 15 years' experience in various areas of the Information Technology Field. Including five years experience installing, configuring, and troubleshooting co..."
13764840,APPAREL,2138,,"BRAND MANAGER Summary Brand manager with a strong merchandising background. Experience in business development, sales and marketing. Understands and excels at analytical and creative thinking. Highlig..."
13807808,APPAREL,2384,,"ASSOCIATE MANAGER OF DESIGN ð​–: michellehong.squarespace.com Work History Company Name - Designer City , State 03/2019 - Current â€¢ Private label cad illustrations for a manufacturer who produces fo..."
13858219,APPAREL,1979,,ASSISTANT MANAGER Summary General Associates with emphasis in Business Admin. and Communications Current 3.0 GPA Volunteer Junior Achievement teacher Grades 1st and 3rd 3 yrs. as a volunteer in specia...
14304010,APPAREL,4978,,"KEY HOLDER, SALES PLANNER Summary Art Director with strong background in production management. Specializes in sales, fashion marketing and editorial film making. Well versed in team building and crea..."
14413257,APPAREL,5610,"html, css, git",OWNER SENIOR GRAPHIC DESIGNER / UX DESIGNER / APP DEVELOPER LINKSLINKSLINKSLINKSLINKS dLINKSLINKSLINKSLINKSLINKSLINKS LINKSLINKSLINKSLINKS Professional Summary Â Multi-talented [Job Title] skilled in ...
14698557,APPAREL,4779,,"GENERAL MANAGER Summary company that would offer growth within the organization. I am easily adaptable, maintain a high regard for attention to detail, and I bring a strong background in coaching/deve..."
10830646,ARTS,9053,,"TUTORING CONSULTANT Executive Profile Motivated, enthusiastic educational leader with 15+ years' experience fostering a cohesive student learning atmosphere conducive to learning. Â My Â core qualific..."
11187796,ARTS,1812,,"MICHAEL'S ARTS AND CRAFTS STORE Summary I am a determined, hard-working individual with the zeal to accomplish any task or challenge I'm given, seeking to exceed expectations. In the next year, I plan..."
11360471,ARTS,4909,,MATERIAL AND TOOLING CONTROL LEAD Summary QualifiedÂ manufacturing manager and electrician Â who stays current with public safety and security standards. Safely operates and maneuvers a diverse range ...
11555549,ARTS,4797,,STUDENT TEACHER Summary Visual Arts Specialist with 11 years experience in elementary art education. Demonstrated skill in individualizing instruction based on students' needs and interests. Highlight...
11995013,ARTS,5632,,LINE ATTENDANT Summary Results-oriented Supervisor with diverse background in management and customer service. Dedicated to providing excellent customer service and making operational and procedural i...
12334650,ARTS,8527,,"FOOD SERVER Summary I have sixteen years of experience in the customer service industry. My experience includes, customer-oriented food server, crew trainer and housekeeper with a deep experience with..."
12386670,ARTS,6598,,ARTS INSTRUCTOR Summary Motivated teaching professional with over 22 years' experience addressing student needs and ensuring proper student development through formative assessments and student-center...
12413512,ARTS,6497,,8TH GRADE LANGUAGE ARTS TEACHER Summary Teacher with excellent communication skills. Organized and driven with the innate ability to stay on task. Uses effective and efficient methods of teaching whil...
12777487,ARTS,5394,,ONLINE LEARNING COORDINATOR - PROGRAM TRAINING AND SUPPORT Summary To effectively and innovatively influence student and staff knowledge and skills with learning technologies and learning management s...
13272204,ARTS,5085,,"LOGISTICS COORDINATOR Summary To obtain a full-time position with a company that offers opportunities and growth potential, while contributing to the success of my employer. I'm a executive who is a d..."
14150896,ARTS,2199,,"PRODUCTION ASSISTANT INTERN Summary Energetic and dedicated film student currently completing degree in media management and production. Strong interests in creative development, character writing and..."
14248724,ARTS,2535,git,DENTAL HYGIENIST Professional Summary I am a dedicated and energetic Dental Hygienist with a total of sixteen years experience in the dental profession. My focus has always been to provide exceptional...
14879257,ARTS,4917,,BILINGUAL LANGUAGE ARTS SIXTH GRADE TEACHER Summary Dedicated and enthusiastic professional with over four years' experience in education. Proven expertise in establishing rapport and building trust a...
15265464,ARTS,4415,,INTERVENTION SPECIALIST TEACHER OF MATH AND LANGUAGE ARTS Objective To gain the position as the resource room teacher at Howell Township Public Schools. Summary of Qualifications Demonstrated ability ...
15306049,ARTS,1835,,ARTS EDUCATION INTERN Objective To obtain an administrative internship with the Performing Arts Project for the 5-week intensive program. Education Bachelors of Music in Vocal Performance 2018 Califor...
16244633,ARTS,11806,aws,SALES & CUSTOMER SERVICE REP Summary Administrative & HR Professional Holds Master of Arts (Honors) degree in Human Resource Development from Bowie State University with a 4.0 GPA. Highly organized an...
16887936,ARTS,7201,"html, git","COORDINATOR, DONOR RELATIONS Summary Highly organized Communications Specialist with [Number] years in the communications field. Areas of expertise include web and print content development, public sp..."
16962067,ARTS,5600,,"AS K-12 PRINCIPAL Professional Summary Committed and passionate, K-12 educational leader and lifelong learner with effective communication skills and 10 years of experience. Builds trusting, authentic..."
17033567,ARTS,1617,,"VIDEO DIRECTOR, EAST COAST VIDEO FOR ENTERPRISE BRANDS Summary Athletics have always been an integral part of my life in one way or another. After years of using my physical fitness to supplement the ..."
17325147,ARTS,4979,,"EXPRESSIVE ARTS PROGRAM LEADER Professional Experience 09/2014 to 06/2015 EXPRESSIVE ARTS PROGRAM LEADER City , State Formulated, proposed, and was authorized to implement ""The Arts Project,"" a weekly..."
11152490,AUTOMOBILE,13271,aws,"DEPUTY PRINCIPAL Executive Profile Results-oriented and resourceful education professional with proven ability to effectively develop and implement educational strategies, policy and practices that im..."
11257723,AUTOMOBILE,3357,,"GENERAL LIABILITY CLAIM REPRESENTATIVE Summary Claims Representative who is highly motivated, success driven with several years experience in the insurance industry.Â Skills Claims file management pro..."
11797122,AUTOMOBILE,7515,aws,"AUTOMOBILE TRANSPORTER Professional Summary Dedicated, responsible Class A driver with a clean driver's license. Self-motivated and customer-focused.Exceptional leader talented at leadership, communic..."
11887930,AUTOMOBILE,6295,aws,CLINICAL AND DATA OPERATIONS SUPPORT ANALYST Summary Creative and Innovative professional driven to launch a career in teaching. Brings valuable experience from the legal and clinical research fields....
14455622,AUTOMOBILE,6780,,"PROPOSAL COORDINATOR Experience Proposal Coordinator 03/2013 to 07/2014 Company Name City , State Prepare, coordinate, manage and revise maintenance and modification proposals for the Regional Sales M..."
14508237,AUTOMOBILE,5948,,AGENCY SALES RESOURCES Summary Seeking to secure a position with a well established company that prides in the growth of its employees. With the ability to showcase versatile knowledge in auxiliary me...
15100547,AUTOMOBILE,4721,aws,"STUDENT ATTORNEY - CRIMINAL DEFENSE Summary Recent law school graduate, excited to begin my new career, offering skill in innovative problem solving and finding unique theories, ideas and solutions to..."
15210069,AUTOMOBILE,4727,aws,SOFTWARE SUPPORT SPECIALIST Professional Summary Dedicated Customer Service Representative motivated to maintain customer satisfaction and contribute to company success. Skill Highlights Strong organi...
15484011,AUTOMOBILE,4811,,"RECREATION ACTIVITY COORDINATOR Summary To secure a position related to the personal care of clients hair, skin, and nails, and continue my education at the post secondary level towards additional cer..."
15790602,AUTOMOBILE,6696,git,"DIRECTOR Executive Profile Forward thinker with expertise in marketing, partner acquisition, contract negotiation, communications, project management, collaboration and consensus building, combined wi..."
16332293,AUTOMOBILE,1582,,AUTOMOBILE SERVICE MANAGER Summary Attentive Automobile Service Manager with comprehensive knowledge of the automobile industry. Adept at providing an optimal level of customer support that includes s...
17510973,AUTOMOBILE,4293,,"CONTACT CENTER SPECIALIST Summary Accomplished and dedicated Customer Service and Administrative professional with over 10 years' experience in the non-profit, finance and healthcare fields. Proven tr..."
17571262,AUTOMOBILE,4690,css,SECRETARY II Summary Energetic management professional with over seven years of experience in high-level executive support and accounting roles. Organized and dedicated professional who excels at prio...
18448085,AUTOMOBILE,3248,"python, sql, data science","DATA ANALYST Professional Summary Industrial and Systems Engineering graduate, certified Base SAS Programmer and a Lean Six Sigma Green Belt with strong background in statistics, mathematics and logic..."
18932512,AUTOMOBILE,5361,,CUSTOMER RELATIONS SPECIALIST Summary To obtain a position with a company that offers the chance for me to utilize my call center and customer service skills to the best of my ability. As well as an o...
22452756,AUTOMOBILE,5085,,SERVICES ENGINEER Summary Seeking a challenging and exciting job in a growth oriented industry were my potential for hard work and skills will be fully utilized Experience Services Engineer January 20...
22732234,AUTOMOBILE,5901,,"CUSTOMER SERVICE REPRESENTATIVE Summary A dependable, quality-focused specialist seeking an opportunity that offers a variety of challenges and responsibilities that would allow myself to contribute t..."
22946204,AUTOMOBILE,5556,"python, java, sql, machine learning","Highlights Prog. Languages: C (5+ yrs), Python (3+ yrs), Java (3+ yrs), MATLAB (Simulink) (5+ yrs), R (2 yrs), Processing (2yrs), SQL(4+ yrs), PLC(2 yrs) Doc. Editing: Word/PPT/Excel, Pages/Numbers/Ke..."
23009962,AUTOMOBILE,5159,,ORGANIZATION DEVELOPMENT CONSULTANT Executive Profile Proven business leader with extensive consulting experience. Award winning Executive Coach with over 15 years of experience as an internal and ext...
23522150,AUTOMOBILE,4818,,RECRUITER Career Overview Mature and professional administrative assistant with over 8 years of experience seeking an employment opportunity where my skills and versatility Core Strengths Microsoft Of...
10176815,AVIATION,5570,"html, git",AVIATION ELECTRONICS TECHNICIAN Summary Seeking a challenging position where my existing skills and experience contribute to your company while expanding my technical abilities. Highlights Proficient ...
10189110,AVIATION,8780,,"PURCHASER / PRODUCTION COORDINATOR Professional Profile Productive, quality oriented professional eager to contribute comprehensive skills toward actively supporting a progressive organization as a ke..."
10395944,AVIATION,3197,,LINE SERVICE TECHNICIAN Summary I currently have 42 flying hours. IÂ am a Sophomore student at Southwestern Illinois College in the Aviation Pilot Program and I am very interested in the aviation worl...
10567764,AVIATION,6764,html,SUPERVISOR Summary I was a supervisor for two years in a corrosion control facility for the US Government. As a shift supervisor of three employees I was directly responsible for the maintenance and u...
10945968,AVIATION,4830,java,GLOBAL IT PROJECT MANAGER Summary My background is in Information Technology and I have over 20 years experience working in the Aviation Ground Handling sector performing several IT roles. From Suppor...
11137306,AVIATION,6087,git,SIMULATOR TECHNICIAN Summary Experienced Electronic Technician with extensive knowledge in A/C and D/C theory and troubleshooting skills and technique. Avionics specialist in theory of operation and r...
11169163,AVIATION,6196,css,FIELD PROJECT SUPERVISOR Summary Administrative aviation logistics professional with 26 years' experience working in the military sector including 20 years' operating in a supervisory position. Tracke...
11333001,AVIATION,5912,,OPERATIONS TECHNICIAN 1 Summary Multi-faceted mechanical engineering student with background in ordnance and small arms handling . Strong technical proficiency with work history in a maintenance/ oper...
11614114,AVIATION,4754,,MATERIAL CONTROL SPECIALIST Summary Accomplished professional with 12 years of experience within the field of Logistics and 9 years of experience in Organizational Leadership. Expert at managing suppl...
11752500,AVIATION,6230,,"ELECTRICIAN Professional Summary Technically sophisticated Aviation ElectricianÂ with 20 years of experience on large-scale electronic systems, troubleshooting, installation, calibration, and maintena..."
11804712,AVIATION,8433,,"AVIATION MECHANIC Highlights Technical Proficiencies MS Office (Excel, Outlook, PowerPoint, Word) Accomplishments Quality-focused manager with of experience driving maintenance programs, projects, and..."
11959428,AVIATION,1437,,"MAINTENANCE MECHANIC Summary I am a graduate with an Associate of Applied Science in Power-plant & Airframe Technology and with an FAA A&P license with experience in troubleshooting, repairing and mai..."
12043694,AVIATION,7616,,"ADVANCED LEVEL WHEELED VEHICLE MECHANIC Career Focus To obtain a challenging, rewarding position in a professional and structured environment, where I can utilize my vast military experience, work eth..."
12144825,AVIATION,3929,"python, java, javascript, html, css, sql, docker, git","SOFTWARE ENGINEERING CO-OP Summary Highly skilled and Accomplished computer software specialist with more than 7+ years of technical experience in programming development across multiple platforms, so..."
12192507,AVIATION,1756,,FRONT DESK ATTENDANT Summary Graduated Bridgewater State University in May 2015 with a Bachelor's degree in Aviation Management and recently started the MBA Aviation program at Embry-riddle Aeronautic...
12239749,AVIATION,4879,,"SPECIALIST OF INFANTRY Professional Summary Professional learning, occupational consultant and life-skills counselor seeking a position as a Social Services Provider. Disabled veteran and education sp..."
12504278,AVIATION,5183,,"CUSTOMER SERVICE REPRESENTATIVE Summary To obtain a position that will enable me to use my organizational skills and ability to work with people, in a stable environment that will lead to a lasting Â ..."
12904972,AVIATION,6897,,"MANAGER, CONTINUOUS IMPROVEMENT Skills Fiber Optics Repair Technical Skill Set * Formal Training: Learjet 24, Piper Cherokee, AeroCommander 520, and Cessna 310 Airframe and Powerplant systems. * Gener..."
13195436,AVIATION,6429,,AVIATION MAINTENANCE EGRESS LEADING PETTY OFFICER LEADING PETTY OFFICER Summary To obtain a position that will utilize my unique technical and management skills acquired during my military career. Mai...
13234267,AVIATION,8699,,DIRECTOR OF AVIATION AND SAFETY Skill Highlights Project management Leadership/communication skills Employee relations Self-motivated Risk management Labor-management skills Budget management Professi...
10329506,BANKING,4582,,REGISTERED CLIENT SERVICE ASSOCIATE Summary To obtain a position where my years of experience in the client support environment and proven track record of maintaining and developing new businesses can...
10909673,BANKING,5529,,"VICE PRESIDENT Summary Seeking a Program/Project Management position to utilize and expand my talents, knowledge and experience. Experience Vice President 01/2011 to Current Company Name City , State ..."
11065180,BANKING,4755,,OPERATIONS MANAGER Summary Experienced client service professional accustomed to managing teams functioning in a fast-paced environment in support of multiple products across various business units. S...
11262933,BANKING,6373,aws,"ACCOUNT RECEIVABLE Executive Summary Champion of continual process improvements to create more efficient work environments. Leads by example, developing, mentoring and sharing best practices across li..."
11266906,BANKING,6776,,"SR. HOME MORTGAGE CONSULTANT - WELLS FARGO ADVISORS Summary An accomplished, results-driven team player with over 20 years of experience in financial services. Extensive broad expertise in banking, fi..."
11637468,BANKING,5260,,"SENIOR LENDING OFFICER - VP EXECUTIVE OFFICER Summary As the Senior Lending Officer at a regional Community Bank in Upstate NY, my role and responsibilities were for that of the outbound sales growth ..."
11672279,BANKING,6190,,"ASSISTANT VICE PRESIDENT Highlights MS Office Suite, Markit, Cass II Brokerage System, HP Quality Center, Impact, Pegasystems, Bloomberg, Reuters, Dodd-Frank, FATCA, EMIR, ISDA, CHIPS, SWIFT Experienc..."
11773925,BANKING,5653,,"MARKETING & SALES ANALYST Summary A result oriented Marketing & Sales Analyst with 10 years of industry experience in the Staffing, Internet / ecommerce / Dotcom, Media / Publishing domain with expert..."
11842348,BANKING,4785,docker,"SVP, REGIONAL SALES DIRECTOR WEALTH MANAGEMENT Executive Profile * Exceptional follow-through abilities and detail oriented; able to plan and foresee strategies from concept to successful completion *..."
12021752,BANKING,4844,,"SENIOR INVESTMENT BANKING SALES ANALYST Summary To obtain a sales position utilizing my sales, leadership, consultative, and strategic thinking strengths. Experience Senior Investment Banking Sales An..."
